email,firstName,lastName,otherName,phone,department,title
james.udo@oauife.edu.ng,James,Udo,Chinedu,08011112222,Anatomy and Cell Biology,Dr
ngozi.adeleke@oauife.edu.ng,Ngozi,Adeleke,Oluwaseun,08022223333,Chemical Pathology,Dr
emeka.okafor@oauife.edu.ng,Emeka,Okafor,Obinna,08033334444,Haematology and Immunology,Dr
amina.bello@oauife.edu.ng,Amina,Bello,Zainab,08044445555,Medical Biochemistry,Prof
victor.ogunleye@oauife.edu.ng,Victor,Ogunleye,Temitope,08055556666,Medical Pharmacology and Therapeutics,Prof
missing.name@oauife.edu.ng,,Okoro,,08077778888,Nursing Science,Prof
grace.edet@oauife.edu.ng,Grace,,Ime,08088889999,Physiological Sciences,Dr
,,Johnson,Yetunde,08111112222,Anaethesia and Intensive Care,Dr
felix.adam@oauife.edu.ng,Felix,Adam,Segun,,Morbid Anatomy and Forensic Medicine,Dr
ruth.okon@oauife.edu.ng,Ruth,Okon,Ekaette,08099990000,,Dr
